month_year,Total,Game Content,Hardware,Accessories,Software
Apr 2021,4.73,4.27,0.30,0.17,
May 2021,4.52,4.14,0.24,0.14,
Jun 2021,4.88,4.27,0.40,0.21,
Jul 2021,4.57,4.06,0.32,0.19,
Aug 2021,4.31,3.81,0.33,0.17,
Sep 2021,4.26,3.68,0.41,0.17,
Oct 2021,4.27,4.36,0.47,0.16,
Nov 2021,6.11,4.98,0.87,0.26,
Dec 2021,7.43,5.60,1.32,0.51,
Jan 2022,4.59,4.01,0.39,0.19,
Feb 2022,4.32,3.84,0.30,0.19,
Mar 2022,4.88,4.12,0.52,0.24,
Apr 2022,4.32,3.82,0.34,0.16,
May 2022,3.67,3.31,0.22,0.14,
Jun 2022,4.34,3.78,0.37,0.19,
Jul 2022,4.16,3.64,0.36,0.16,
Aug 2022,4.08,3.56,0.38,0.14,
Sep 2022,4.07,3.40,0.49,0.18,
Oct 2022,4.27,4.37,0.43,0.15,
Nov 2022,6.29,4.73,1.27,0.30,
Dec 2022,7.63,5.57,1.54,0.51,
Jan 2023,4.35,3.79,0.39,0.17,
Feb 2023,4.60,3.89,0.50,0.21,
Mar 2023,4.63,3.83,0.57,0.23,
Apr 2023,4.12,3.60,0.37,0.16,
May 2023,4.12,3.62,0.34,0.16,
Jun 2023,4.73,4.06,0.45,0.21,
Jul 2023,4.19,3.72,0.29,0.17,
Aug 2023,4.20,3.72,0.33,0.16,
Sep 2023,4.50,3.85,0.45,0.20,
Oct 2023,4.04,3.56,0.33,0.15,
Nov 2023,5.87,4.60,0.96,0.30,
Dec 2023,7.91,5.73,1.60,0.58,
